"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","27691138","","","","0"
"1991","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28037420","","","","0"
"1992","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28371264","","","","0"
"1993","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","28684764","","","","0"
"1994","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29000663","","","","0"
"1995","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29302311","","","","0"
"1996","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29610218","","","","0"
"1997","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","29905948","","","","0"
"1998","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30155173","","","","0"
"1999","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30401286","","","","0"
"2000","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","30685730","","","","0"
"2001","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31020902","","","","0"
"2002","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31360079","","","","0"
"2003","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31644028","","","","0"
"2004","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","31940655","","","","0"
"2005","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32243753","","","","0"
"2006","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32571174","","","","0"
"2007","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","32889025","","","","0"
"2008","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","33247118","","","","0"
"2009","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","33628895","","","","0"
"2010","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34004889","","","","0"
"2011","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34339328","","","","0"
"2012","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34714222","","","","0"
"2013","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35082954","","","","0"
"2014","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35437435","","","","0"
"2015","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35702908","","","","0"
"2016","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36109487","","","","0"
"2017","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36545295","","","","0"
"2018","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","37065178","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","577368","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","579644","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","580109","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","579977","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","574466","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","567397","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","559698","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","550911","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","539843","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","533329","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","527966","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","522046","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","519481","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","518459","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","517423","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","514332","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","510592","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","509055","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","511581","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","516751","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","522009","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","524999","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","526345","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","527114","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","528159","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","528117","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","529426","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","528249","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Both sexes","All ages","Persons","249","units","0","v466983","2.1.1","525560","","","","0"
"1990","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","130404","","","","0"
"1991","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","130369","","","","0"
"1992","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","130827","","","","0"
"1993","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","132177","","","","0"
"1994","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","133437","","","","0"
"1995","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","134415","","","","0"
"1996","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","135737","","","","0"
"1997","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","136095","","","","0"
"1998","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","135804","","","","0"
"1999","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","136281","","","","0"
"2000","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","136470","","","","0"
"2001","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","136665","","","","0"
"2002","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","136880","","","","0"
"2003","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","137227","","","","0"
"2004","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","137680","","","","0"
"2005","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","138064","","","","0"
"2006","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","137867","","","","0"
"2007","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","137711","","","","0"
"2008","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","138749","","","","0"
"2009","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","139891","","","","0"
"2010","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","141654","","","","0"
"2011","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","143963","","","","0"
"2012","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","144530","","","","0"
"2013","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","144094","","","","0"
"2014","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","144283","","","","0"
"2015","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","144546","","","","0"
"2016","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","146969","","","","0"
"2017","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","150402","","","","0"
"2018","Prince Edward Island","2016A000211","Both sexes","All ages","Persons","249","units","0","v467298","3.1.1","153396","","","","0"
"1990","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","910451","","","","0"
"1991","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","914969","","","","0"
"1992","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","919451","","","","0"
"1993","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","923925","","","","0"
"1994","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","926871","","","","0"
"1995","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","928120","","","","0"
"1996","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","931327","","","","0"
"1997","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","932402","","","","0"
"1998","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","931836","","","","0"
"1999","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","933784","","","","0"
"2000","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","933821","","","","0"
"2001","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","932494","","","","0"
"2002","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935179","","","","0"
"2003","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937717","","","","0"
"2004","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","939664","","","","0"
"2005","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937926","","","","0"
"2006","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","937882","","","","0"
"2007","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935115","","","","0"
"2008","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","935897","","","","0"
"2009","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","938208","","","","0"
"2010","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","942107","","","","0"
"2011","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","944274","","","","0"
"2012","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","943635","","","","0"
"2013","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","940434","","","","0"
"2014","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","938545","","","","0"
"2015","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","936525","","","","0"
"2016","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","942790","","","","0"
"2017","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","950108","","","","0"
"2018","Nova Scotia","2016A000212","Both sexes","All ages","Persons","249","units","0","v467613","4.1.1","958406","","","","0"
"1990","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","740156","","","","0"
"1991","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745567","","","","0"
"1992","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748121","","","","0"
"1993","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748812","","","","0"
"1994","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750185","","","","0"
"1995","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750943","","","","0"
"1996","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","752268","","","","0"
"1997","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","752511","","","","0"
"1998","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750530","","","","0"
"1999","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750601","","","","0"
"2000","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750517","","","","0"
"2001","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749820","","","","0"
"2002","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749372","","","","0"
"2003","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749441","","","","0"
"2004","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749419","","","","0"
"2005","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748057","","","","0"
"2006","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745621","","","","0"
"2007","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745433","","","","0"
"2008","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","746877","","","","0"
"2009","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749956","","","","0"
"2010","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","753035","","","","0"
"2011","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","755705","","","","0"
"2012","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758378","","","","0"
"2013","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758544","","","","0"
"2014","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758976","","","","0"
"2015","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758842","","","","0"
"2016","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","763350","","","","0"
"2017","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","766621","","","","0"
"2018","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","770301","","","","0"
"1990","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","6996986","","","","0"
"1991","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7067396","","","","0"
"1992","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7110010","","","","0"
"1993","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7156537","","","","0"
"1994","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7192403","","","","0"
"1995","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7219219","","","","0"
"1996","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7246897","","","","0"
"1997","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7274611","","","","0"
"1998","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7295935","","","","0"
"1999","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7323250","","","","0"
"2000","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7356951","","","","0"
"2001","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7396456","","","","0"
"2002","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7441656","","","","0"
"2003","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7485753","","","","0"
"2004","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7535590","","","","0"
"2005","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7581476","","","","0"
"2006","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7631966","","","","0"
"2007","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7692916","","","","0"
"2008","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7761725","","","","0"
"2009","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7843383","","","","0"
"2010","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7929222","","","","0"
"2011","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8005090","","","","0"
"2012","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8061101","","","","0"
"2013","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8110880","","","","0"
"2014","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8150183","","","","0"
"2015","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8175272","","","","0"
"2016","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8225950","","","","0"
"2017","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8302063","","","","0"
"2018","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8401738","","","","0"
"1990","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10295832","","","","0"
"1991","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10431316","","","","0"
"1992","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10572205","","","","0"
"1993","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10690038","","","","0"
"1994","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10819146","","","","0"
"1995","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10950119","","","","0"
"1996","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11082903","","","","0"
"1997","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11227651","","","","0"
"1998","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11365901","","","","0"
"1999","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11504759","","","","0"
"2000","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11683290","","","","0"
"2001","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11897534","","","","0"
"2002","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12094174","","","","0"
"2003","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12245039","","","","0"
"2004","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12391421","","","","0"
"2005","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12528663","","","","0"
"2006","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12661878","","","","0"
"2007","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12764806","","","","0"
"2008","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12883583","","","","0"
"2009","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12998345","","","","0"
"2010","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13135778","","","","0"
"2011","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13261381","","","","0"
"2012","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13390632","","","","0"
"2013","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13510781","","","","0"
"2014","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13617553","","","","0"
"2015","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13707118","","","","0"
